state_abbrev,name,category,slug,is_system_value,target_species,hunting_method,instrument,first_year,last_year
,Other,activity_scope,universal-activityscope-other,True,,,,,
AK,General Hunting,activity_scope,ak-activityscope-general-hunting,True,,,,,
AK,Trapping/Furbearer,activity_scope,ak-activityscope-trapping-furbearer,True,,,,,
AL,Combo Hunt+Fish,activity_scope,al-activityscope-combo-huntfish,True,,,,,
AL,General Hunting,activity_scope,al-activityscope-general-hunting,True,,,,,
AL,Other,activity_scope,al-activityscope-other,True,,,,,
AR,Big Game,activity_scope,ar-activityscope-big-game,True,,,,,
AR,Combo Hunt+Fish,activity_scope,ar-activityscope-combo-huntfish,True,,,,,
AR,General Hunting,activity_scope,ar-activityscope-general-hunting,True,,,,,
AR,Other,activity_scope,ar-activityscope-other,True,,,,,
AZ,Combo Hunt+Fish,activity_scope,az-activityscope-combo-huntfish,True,,,,,
AZ,General Hunting,activity_scope,az-activityscope-general-hunting,True,,,,,
CA,General Hunting,activity_scope,ca-activityscope-general-hunting,True,,,,,
CO,Combo Hunt+Fish,activity_scope,co-activityscope-combo-huntfish,True,,,,,
CO,General Hunting,activity_scope,co-activityscope-general-hunting,True,,,,,
CT,Combo Hunt+Fish,activity_scope,ct-activityscope-combo-huntfish,True,,,,,
CT,General Hunting,activity_scope,ct-activityscope-general-hunting,True,,,,,
CT,Trapping/Furbearer,activity_scope,ct-activityscope-trapping-furbearer,True,,,,,
DE,General Hunting,activity_scope,de-activityscope-general-hunting,True,,,,,
DE,Other,activity_scope,de-activityscope-other,True,,,,,
DE,Trapping/Furbearer,activity_scope,de-activityscope-trapping-furbearer,True,,,,,
FL,Combo Hunt+Fish,activity_scope,fl-activityscope-combo-huntfish,True,,,,,
FL,General Hunting,activity_scope,fl-activityscope-general-hunting,True,,,,,
FL,Sportsman,activity_scope,fl-activityscope-sportsman,True,,,,,
FL,Trapping/Furbearer,activity_scope,fl-activityscope-trapping-furbearer,True,,,,,
GA,Combo Hunt+Fish,activity_scope,ga-activityscope-combo-huntfish,True,,,,,
GA,General Hunting,activity_scope,ga-activityscope-general-hunting,True,,,,,
GA,Sportsman,activity_scope,ga-activityscope-sportsman,True,,,,,
HI,General Hunting,activity_scope,hi-activityscope-general-hunting,True,,,,,
IA,Combo Hunt+Fish,activity_scope,ia-activityscope-combo-huntfish,True,,,,,
IA,General Hunting,activity_scope,ia-activityscope-general-hunting,True,,,,,
IA,Trapping/Furbearer,activity_scope,ia-activityscope-trapping-furbearer,True,,,,,
ID,Combo Hunt+Fish,activity_scope,id-activityscope-combo-huntfish,True,,,,,
ID,General Hunting,activity_scope,id-activityscope-general-hunting,True,,,,,
ID,Sportsman,activity_scope,id-activityscope-sportsman,True,,,,,
ID,Trapping/Furbearer,activity_scope,id-activityscope-trapping-furbearer,True,,,,,
IL,Combo Hunt+Fish,activity_scope,il-activityscope-combo-huntfish,True,,,,,
IL,General Hunting,activity_scope,il-activityscope-general-hunting,True,,,,,
IL,Trapping/Furbearer,activity_scope,il-activityscope-trapping-furbearer,True,,,,,
IN,Combo Hunt+Fish,activity_scope,in-activityscope-combo-huntfish,True,,,,,
IN,General Hunting,activity_scope,in-activityscope-general-hunting,True,,,,,
IN,Trapping/Furbearer,activity_scope,in-activityscope-trapping-furbearer,True,,,,,
KS,Combo Hunt+Fish,activity_scope,ks-activityscope-combo-huntfish,True,,,,,
KS,General Hunting,activity_scope,ks-activityscope-general-hunting,True,,,,,
KS,Trapping/Furbearer,activity_scope,ks-activityscope-trapping-furbearer,True,,,,,
KY,Combo Hunt+Fish,activity_scope,ky-activityscope-combo-huntfish,True,,,,,
KY,General Hunting,activity_scope,ky-activityscope-general-hunting,True,,,,,
KY,Sportsman,activity_scope,ky-activityscope-sportsman,True,,,,,
KY,Trapping/Furbearer,activity_scope,ky-activityscope-trapping-furbearer,True,,,,,
LA,Combo Hunt+Fish,activity_scope,la-activityscope-combo-huntfish,True,,,,,
LA,General Hunting,activity_scope,la-activityscope-general-hunting,True,,,,,
LA,Sportsman,activity_scope,la-activityscope-sportsman,True,,,,,
MA,Big Game,activity_scope,ma-activityscope-big-game,True,,,,,
MA,Combo Hunt+Fish,activity_scope,ma-activityscope-combo-huntfish,True,,,,,
MA,General Hunting,activity_scope,ma-activityscope-general-hunting,True,,,,,
MA,Trapping/Furbearer,activity_scope,ma-activityscope-trapping-furbearer,True,,,,,
MD,General Hunting,activity_scope,md-activityscope-general-hunting,True,,,,,
MD,Trapping/Furbearer,activity_scope,md-activityscope-trapping-furbearer,True,,,,,
MD,Waterfowl/Migratory,activity_scope,md-activityscope-waterfowl-migratory,True,,,,,
ME,Combo Hunt+Fish,activity_scope,me-activityscope-combo-huntfish,True,,,,,
ME,General Hunting,activity_scope,me-activityscope-general-hunting,True,,,,,
ME,Sportsman,activity_scope,me-activityscope-sportsman,True,,,,,
MI,Combo Hunt+Fish,activity_scope,mi-activityscope-combo-huntfish,True,,,,,
MI,General Hunting,activity_scope,mi-activityscope-general-hunting,True,,,,,
MI,Trapping/Furbearer,activity_scope,mi-activityscope-trapping-furbearer,True,,,,,
MN,Big Game,activity_scope,mn-activityscope-big-game,True,,,,,
MN,General Hunting,activity_scope,mn-activityscope-general-hunting,True,,,,,
MN,Sportsman,activity_scope,mn-activityscope-sportsman,True,,,,,
MN,Trapping/Furbearer,activity_scope,mn-activityscope-trapping-furbearer,True,,,,,
MO,Combo Hunt+Fish,activity_scope,mo-activityscope-combo-huntfish,True,,,,,
MO,General Hunting,activity_scope,mo-activityscope-general-hunting,True,,,,,
MS,Combo Hunt+Fish,activity_scope,ms-activityscope-combo-huntfish,True,,,,,
MS,General Hunting,activity_scope,ms-activityscope-general-hunting,True,,,,,
MS,Sportsman,activity_scope,ms-activityscope-sportsman,True,,,,,
MS,Trapping/Furbearer,activity_scope,ms-activityscope-trapping-furbearer,True,,,,,
MT,Big Game,activity_scope,mt-activityscope-big-game,True,,,,,
MT,General Hunting,activity_scope,mt-activityscope-general-hunting,True,,,,,
MT,Sportsman,activity_scope,mt-activityscope-sportsman,True,,,,,
NC,General Hunting,activity_scope,nc-activityscope-general-hunting,True,,,,,
NC,Other,activity_scope,nc-activityscope-other,True,,,,,
NC,Sportsman,activity_scope,nc-activityscope-sportsman,True,,,,,
NC,Trapping/Furbearer,activity_scope,nc-activityscope-trapping-furbearer,True,,,,,
ND,Combo Hunt+Fish,activity_scope,nd-activityscope-combo-huntfish,True,,,,,
ND,General Hunting,activity_scope,nd-activityscope-general-hunting,True,,,,,
