"state_name","state_abbrev","state_fips","min_license_year","min_year_confidence","min_year_source","issuance_scope","issuance_unit_type","issuance_unit_label","agency_name","agency_name_historical","licensing_start_year","licensing_start_source","notes"
"Colorado","CO","8","1899","high","https://coloradoencyclopedia.org/article/colorado-parks-and-wildlife","management_unit","Game Management Unit","GMU","Colorado Parks and Wildlife","Department of Game and Fish","1903","https://coloradoencyclopedia.org/article/colorado-parks-and-wildlife","CO legislature established Dept of Game and Fish Apr 27 1899. First licenses administered in 1903 under Commissioner Woodard. ~185 GMUs with both sequential and 3-digit sub-unit numbers. Big game licenses allotted per GMU via OTC or limited draw with preference points."
"Georgia","GA","13","1911","high","https://dlg.usg.edu/record/dlg_ggpd_s-ga-bn200-pg2-bm1-b2012-bc4-belec-p-btext","county","County","County","Georgia Department of Natural Resources Wildlife Resources Division","Department of Game and Fish","1911","https://dlg.usg.edu/record/dlg_ggpd_s-ga-bn200-pg2-bm1-b2012-bc4-belec-p-btext","GA Dept of Game and Fish established 1911 financed by license fees. Self-sustaining from inception. 148 wardens by 1913. 104 WMAs exist but licensing is statewide; either-sex days and bag limits set by county. Big Game License required as add-on for deer/turkey/bear."
"Illinois","IL","17","1903","high","https://sangamoncountyhistory.org/wp/first-hunting-license-1903/","county","County","County","Illinois Department of Natural Resources","Illinois Department of Natural Resources","1903","https://sangamoncountyhistory.org/wp/first-hunting-license-1903/","IL hunting license law enacted 1903. First license issued Jun 11 1903 in Sangamon County to Horace S. Rearden. 12000 licenses issued statewide in Jul 1903. Firearm deer permits county-specific lottery. FOID card required for all firearms hunting."
"Indiana","IN","18","1901","medium","https://waterfowlstampsandmore.com/gallery-7/1901-1930-indiana-hunting-and-fishing-licenses/","county","County","County","Indiana Department of Natural Resources","Indiana Department of Natural Resources","1901","https://waterfowlstampsandmore.com/gallery-7/1901-1930-indiana-hunting-and-fishing-licenses/","Earliest known IN hunting license is 1901 Indiana Hunter's License (collector records). Lifetime licenses discontinued Jul 1 2005; existing ones honored. Antlerless bag limits set per county. Waterfowl managed by 3 zones (North/Central/South)."
"Iowa","IA","19","1909","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Iowa Department of Natural Resources","Iowa Department of Natural Resources","1909","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known IA hunting license is 1909 Resident Hunting License (collector records). Mandatory Habitat Fee required for all hunters. Deer tags county-specific with quotas. Low-income seniors 65+ and permanently disabled get free licenses."
"Kansas","KS","20","1905","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","management_unit","Deer Management Unit","DMU","Kansas Department of Wildlife and Parks","Kansas Forestry Fish and Game Commission","1905","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known KS hunting license is 1905-06 Resident License to Hunt (collector records). 105 counties; 21 DMUs (groups of counties) for big game permits. Units 8A and 10A are military installations. Base hunting license is statewide; big game permits are DMU-specific."
"Kentucky","KY","21","1912","high","https://fw.ky.gov/More/Pages/History.aspx","county","County","County","Kentucky Department of Fish and Wildlife Resources","Game and Fish Commission","1912","https://fw.ky.gov/More/Pages/History.aspx","KY Game and Fish Commission formed by legislature in 1912; generated $31000 from license sales in first 5 months. County licenses eliminated 1952; only statewide licenses since. License year Mar 1-Feb 28. Children under 12 exempt. Farmland owners exempt on own land (except deer/turkey)."
"Maine","ME","23","1903","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","management_unit","Wildlife Management District","WMD","Maine Department of Inland Fisheries and Wildlife","Maine Department of Inland Fisheries and Wildlife","1919","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","Earliest known ME license is 1903 NR Hunting License (collector records). WMDs created ~2000 (originally 30 reduced to 29 in 2006). Pre-2000 antique licenses would not reference WMDs. Super Pack license is all-inclusive. Alien (non-US citizen) NR category exists."
"Maryland","MD","24","1872","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Maryland Department of Natural Resources","Maryland Department of Natural Resources","1872","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","MD 1872 law required $20 license for sink-box waterfowl hunting on Susquehanna Flats — earliest known US hunting license of any kind. General county hunting licenses ~1910 (earliest known specimen: 1910 Baltimore County NR license). Statewide licenses ~1916-18. 23 counties + Baltimore City = 24 jurisdictions."
"Michigan","MI","26","1895","high","https://www.nrahlf.org/articles/2019/7/31/the-long-history-of-nonresident-hunting-licenses/","management_unit","Deer Management Unit","DMU","Michigan Department of Natural Resources","Michigan Department of Natural Resources","1895","https://www.nrahlf.org/articles/2019/7/31/the-long-history-of-nonresident-hunting-licenses/","Michigan among first states to require hunting license in 1895 (resident $0.50/NR $25) specifically for deer. 83 counties; many Lower Peninsula DMUs correspond to single counties. DMU numbering non-contiguous (001-486+)."
