"state_abbrev","addon_name","addon_type","target_species","hunting_method","is_federal","is_mandatory","approx_first_year","approx_last_year","notes","source_url","added_date","first_year_source"
"FEDERAL","Federal Duck Stamp","Stamp","Waterfowl","Any","True","True","1934","","Migratory Bird Hunting and Conservation Stamp Act signed March 16 1934; first stamp 1934 (Darling mallards). Required for migratory waterfowl hunters 16+. Confidence: high.","https://www.fws.gov/law/migratory-bird-hunting-and-conservation-stamp-act","",""
"FEDERAL","HIP Certification (Harvest Information Program)","Harvest Record","Migratory Birds","Any","True","True","1998","","Piloted 1991-92 (CA, MO, SD); nationwide federal requirement 1998. Confidence: high.","https://www.fws.gov/program/migratory-bird-harvest-surveys/what-we-do","",""
"CO","Deer Tag","Tag","Deer","Any","False","False","","","OTC deer tag valid in specific GMUs. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://cpw.state.co.us/hunting/big-game","",""
"CO","Elk Tag","Tag","Elk","Any","False","False","","","OTC elk tag valid in specific GMUs. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://cpw.state.co.us/hunting/big-game","",""
"CO","Pronghorn Tag","Tag","Pronghorn","Any","False","False","","","Draw-only antelope tag. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://cpw.state.co.us/hunting/big-game","",""
"CO","Bear Tag","Tag","Bear","Any","False","False","","","OTC black bear tag; some units may be draw. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://cpw.state.co.us/hunting/big-game","",""
"CO","Moose Tag","Tag","Moose","Any","False","False","","","Draw-only moose tag; very limited quota. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://cpw.state.co.us/hunting/big-game","",""
"CO","Mountain Goat Tag","Tag","Mountain Goat","Any","False","False","","","Draw-only mountain goat tag; very limited quota. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://cpw.state.co.us/hunting/big-game","",""
"CO","Bighorn Sheep Tag","Tag","Bighorn Sheep","Any","False","False","","","Draw-only bighorn sheep tag; very limited quota. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://cpw.state.co.us/hunting/big-game","",""
"CO","Turkey Tag","Tag","Turkey","Any","False","False","","","OTC wild turkey tag. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://cpw.state.co.us/hunting/big-game","",""
"CO","Mountain Lion Tag","Tag","Mountain Lion","Any","False","False","","","OTC mountain lion tag; season quota applies. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://cpw.state.co.us/hunting/big-game","",""
"CO","Bison Tag","Tag","Bison","Any","False","False","","","Draw-only bison tag; extremely limited. Draw/OTC acquisition variants merged 2026-07-10 - not determinable from the artifact.","https://cpw.state.co.us/hunting/big-game","",""
"CO","Colorado Waterfowl Stamp","Stamp","Duck","Any","False","False","1990","","State waterfowl stamp required in addition to federal duck stamp","https://cpw.state.co.us/hunting/big-game","","https://waterfowlstampsandmore.com/galleries/first-of-state-duck-stamp-prints-300-dpi/"
"CO","Habitat Stamp","Habitat Fee","Any","Any","False","True","","","Mandatory for hunters ages 18-64; funds habitat programs","https://cpw.state.co.us/hunting/big-game","",""
"CO","Furbearer License","Permit","Multiple","Any","False","False","","","Required to trap or hunt furbearers","https://cpw.state.co.us/hunting/big-game","",""
"GA","Big Game License (deer/turkey/bear)","License","Multiple","Any","False","True","","","Standalone big-game privilege document layered atop the base GA hunting license; distinct collectible add-on artifact (R5 audit). Required add-on for deer/turkey/bear in GA.","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","GA Waterfowl and Migratory Bird License","Stamp","Duck","Any","False","False","","","State waterfowl license required for migratory bird hunting","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Harvest Record","Harvest Record","Multiple","Any","False","True","","","Free but required; all GA hunters must complete harvest reporting","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Alligator Harvest Permit","Permit","Alligator","Any","False","False","","","Quota draw permit; limited alligator harvest season","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Lands Pass (WMA Access)","Access Pass","Any","Any","False","False","","","Required for hunting on Wildlife Management Areas","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"IL","Firearm Deer Permit","Permit","Deer","Firearm","False","False","","","County-specific draw; required for firearm deer hunting","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
"IL","Archery Deer Permit","Permit","Deer","Archery","False","False","","","Required for archery deer hunting season","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
"IL","Muzzleloader Deer Permit","Permit","Deer","Muzzleloader","False","False","","","Required for muzzleloader deer season","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
"IL","Combination Deer Permit","Permit","Deer","Any","False","False","","","Covers multiple deer seasons","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
"IL","Antlerless Deer Permit","Permit","Deer","Any","False","False","","","Required to harvest antlerless deer; county-specific quotas","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
"IL","Spring Turkey Permit","Permit","Turkey","Any","False","False","","","Required for spring turkey season","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
"IL","Fall Turkey Permit","Permit","Turkey","Any","False","False","","","Required for fall turkey season","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
"IL","State Habitat Stamp","Stamp","Any","Any","False","True","","","Mandatory habitat stamp for all hunters","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
"IL","IL Migratory Waterfowl Stamp","Stamp","Duck","Any","False","False","1975","","State waterfowl stamp required for migratory bird hunting","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","","https://waterfowlstampsandmore.com/galleries/first-of-state-duck-stamp-prints-300-dpi/"
"IN","Deer Archery Permit","Permit","Deer","Archery","False","False","","","Required for archery deer season","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/","",""
"IN","Deer Firearm Permit","Permit","Deer","Firearm","False","False","","","Required for firearm deer season","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/","",""
"IN","Deer Muzzleloader Permit","Permit","Deer","Muzzleloader","False","False","","","Required for muzzleloader deer season","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/","",""
"IN","Antlerless Deer Permit","Permit","Deer","Any","False","False","","","Required to harvest antlerless deer; county-specific quotas","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/","",""
"IN","Spring Turkey Permit","Permit","Turkey","Any","False","False","","","Required for spring turkey season","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/","",""
"IN","Fall Turkey Permit","Permit","Turkey","Any","False","False","","","Required for fall turkey season","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/","",""
"IN","Waterfowl Stamp Privilege","Stamp","Duck","Any","False","False","1976","","State waterfowl stamp for migratory bird hunting","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/","","https://waterfowlstampsandmore.com/galleries/first-of-state-duck-stamp-prints-300-dpi/"
"IN","Game Bird Habitat Stamp","Habitat Fee","Any","Any","False","True","","","Mandatory habitat stamp supporting game bird programs","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/","",""
"IN","Bobcat License","Permit","Bobcat","Any","False","False","","","Required for bobcat harvest where open season exists","https://www.in.gov/dnr/fish-and-wildlife/licenses-and-permits/license-fees/","",""
