"state_abbrev","license_class_name","residency","holder_eligibility","activity_scope","duration","approx_first_year","approx_last_year","was_issued_by_unit","notes","source_url","added_date","first_year_source"
"CO","Resident Annual Small Game License","Resident","General","General Hunting","Annual","1903","","False","Base small game hunting license for CO residents","https://cpw.state.co.us/hunting/big-game/qualifying-license","",""
"CO","Nonresident Annual Small Game License","Nonresident","General","General Hunting","Annual","1903","","False","Base small game hunting license for nonresidents","https://cpw.state.co.us/hunting/big-game/qualifying-license","",""
"CO","Youth Small Game License","Any","Youth","General Hunting","Annual","","","False","Available to hunters under 18","https://cpw.state.co.us/hunting/big-game/qualifying-license","",""
"CO","Resident Small Game and Fishing Combination","Resident","General","Combo Hunt+Fish","Annual","","","False","Combined small game hunting and fishing license","https://cpw.state.co.us/hunting/big-game/qualifying-license","",""
"CO","Resident Veteran Lifetime Combination License","Resident","Veteran","Combo Hunt+Fish","Lifetime","","","False","Lifetime combo for qualifying veterans","https://cpw.state.co.us/hunting/big-game/qualifying-license","",""
"CO","Mobility-Impaired Hunting License","Any","Disabled","General Hunting","Annual","","","False","For hunters with qualifying mobility impairments","https://cpw.state.co.us/hunting/big-game/qualifying-license","",""
"GA","Resident Hunting License","Resident","General","General Hunting","Annual","1911","","False","Base annual hunting license for GA residents","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Nonresident Annual Hunting License","Nonresident","General","General Hunting","Annual","1911","","False","Annual license for nonresidents","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Nonresident 1-Day Hunting License","Nonresident","General","General Hunting","1-day","","","False","Single-day nonresident hunting license","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Nonresident 3-Day Hunting License","Nonresident","General","General Hunting","3-day","","","False","Three-day nonresident hunting license","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Nonresident 7-Day Hunting License","Nonresident","General","General Hunting","7-day","","","False","Seven-day nonresident hunting license","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Resident Sportsman's License","Resident","General","Sportsman","Annual","","","False","Includes hunting and fishing privileges","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Nonresident Sportsman's License","Nonresident","General","Sportsman","Annual","","","False","Nonresident combo sportsman license","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Resident Combination Hunt/Fish License","Resident","General","Combo Hunt+Fish","Annual","","","False","Resident combination hunting and fishing","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Resident Optional Youth Sportsman's License","Resident","Youth","Sportsman","Annual","","","False","Optional sportsman license for resident youth","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Lifetime Sportsman's License","Resident","General","Sportsman","Lifetime","","","False","Lifetime sportsman license for residents","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Senior Lifetime Sportsman's License","Resident","Senior","Sportsman","Lifetime","","","False","Free lifetime for residents born before Jul 1 1952","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Disability Hunting License","Any","Disabled","General Hunting","Annual","","","False","For qualifying disabled hunters","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"GA","Honorary Veterans License","Any","Veteran","General Hunting","Annual","","","False","Honorary license for qualifying veterans","https://georgiawildlife.com/licenses-permits-passes/choose","",""
"IL","Resident Hunting License","Resident","General","General Hunting","Annual","1903","","False","Standard annual hunting license for IL residents. First issued Jun 11 1903.","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
"IL","Resident Youth Hunting and Trapping License","Resident","Youth","Trapping/Furbearer","Annual","","","False","Combo hunt and trap license for resident youth","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
"IL","Resident Combination Hunting/Fishing License","Resident","General","Combo Hunt+Fish","Annual","","","False","Resident combo hunting and fishing","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
"IL","Resident Senior Hunting License","Resident","Senior","General Hunting","Annual","","","False","Reduced-fee license for residents 65+","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
"IL","Nonresident Hunting License","Nonresident","General","General Hunting","Annual","1903","","False","Standard annual hunting license for nonresidents","https://dnr.illinois.gov/lpr/huntinglicensesfees.html","",""
