"state_name","state_abbrev","state_fips","min_license_year","min_year_confidence","min_year_source","issuance_scope","issuance_unit_type","issuance_unit_label","agency_name","agency_name_historical","licensing_start_year","licensing_start_source","notes","added_date"
"Colorado","CO","8","1899","high","https://coloradoencyclopedia.org/article/colorado-parks-and-wildlife","management_unit","County","County","Colorado Parks and Wildlife","Department of Game and Fish","1903","https://coloradoencyclopedia.org/article/colorado-parks-and-wildlife","CO legislature established Dept of Game and Fish Apr 27 1899. First licenses administered in 1903 under Commissioner Woodard. ~185 GMUs with both sequential and 3-digit sub-unit numbers. Big game licenses allotted per GMU via OTC or limited draw with preference points.",""
"Georgia","GA","13","1911","high","https://dlg.usg.edu/record/dlg_ggpd_s-ga-bn200-pg2-bm1-b2012-bc4-belec-p-btext","county","County","County","Georgia Department of Natural Resources Wildlife Resources Division","Department of Game and Fish","1911","https://dlg.usg.edu/record/dlg_ggpd_s-ga-bn200-pg2-bm1-b2012-bc4-belec-p-btext","GA Dept of Game and Fish established 1911 financed by license fees. Self-sustaining from inception. 148 wardens by 1913. 104 WMAs exist but licensing is statewide; either-sex days and bag limits set by county. Big Game License required as add-on for deer/turkey/bear.",""
"Illinois","IL","17","1903","high","https://sangamoncountyhistory.org/wp/first-hunting-license-1903/","county","County","County","Illinois Department of Natural Resources","Illinois Department of Natural Resources","1903","https://sangamoncountyhistory.org/wp/first-hunting-license-1903/","IL hunting license law enacted 1903. First license issued Jun 11 1903 in Sangamon County to Horace S. Rearden. 12000 licenses issued statewide in Jul 1903. Firearm deer permits county-specific lottery. FOID card required for all firearms hunting.",""
"Indiana","IN","18","1901","medium","https://waterfowlstampsandmore.com/gallery-7/1901-1930-indiana-hunting-and-fishing-licenses/","county","County","County","Indiana Department of Natural Resources","Indiana Department of Natural Resources","1901","https://waterfowlstampsandmore.com/gallery-7/1901-1930-indiana-hunting-and-fishing-licenses/","Earliest known IN hunting license is 1901 Indiana Hunter's License (collector records). Lifetime licenses discontinued Jul 1 2005; existing ones honored. Antlerless bag limits set per county. Waterfowl managed by 3 zones (North/Central/South).",""
"Iowa","IA","19","1909","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Iowa Department of Natural Resources","Iowa Department of Natural Resources","1909","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known IA hunting license is 1909 Resident Hunting License (collector records). Mandatory Habitat Fee required for all hunters. Deer tags county-specific with quotas. Low-income seniors 65+ and permanently disabled get free licenses.",""
"Kansas","KS","20","1905","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","management_unit","County","County","Kansas Department of Wildlife and Parks","Kansas Forestry Fish and Game Commission","1905","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known KS hunting license is 1905-06 Resident License to Hunt (collector records). 105 counties; 21 DMUs (groups of counties) for big game permits. Units 8A and 10A are military installations. Base hunting license is statewide; big game permits are DMU-specific.",""
"Kentucky","KY","21","1912","high","https://fw.ky.gov/More/Pages/History.aspx","county","County","County","Kentucky Department of Fish and Wildlife Resources","Game and Fish Commission","1912","https://fw.ky.gov/More/Pages/History.aspx","KY Game and Fish Commission formed by legislature in 1912; generated $31000 from license sales in first 5 months. County licenses eliminated 1952; only statewide licenses since. License year Mar 1-Feb 28. Children under 12 exempt. Farmland owners exempt on own land (except deer/turkey).",""
"Maine","ME","23","1903","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","management_unit","County","County","Maine Department of Inland Fisheries and Wildlife","Maine Department of Inland Fisheries and Wildlife","1919","https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/licenses-permits.html","Earliest known ME license is 1903 NR Hunting License (collector records). WMDs created ~2000 (originally 30 reduced to 29 in 2006). Pre-2000 antique licenses would not reference WMDs. Super Pack license is all-inclusive. Alien (non-US citizen) NR category exists.",""
"Maryland","MD","24","1872","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Maryland Department of Natural Resources","Maryland Department of Natural Resources","1872","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","MD 1872 law required $20 license for sink-box waterfowl hunting on Susquehanna Flats — earliest known US hunting license of any kind. General county hunting licenses ~1910 (earliest known specimen: 1910 Baltimore County NR license). Statewide licenses ~1916-18. 23 counties + Baltimore City = 24 jurisdictions.",""
"Michigan","MI","26","1895","high","https://www.nrahlf.org/articles/2019/7/31/the-long-history-of-nonresident-hunting-licenses/","management_unit","County","County","Michigan Department of Natural Resources","Michigan Department of Natural Resources","1895","https://www.nrahlf.org/articles/2019/7/31/the-long-history-of-nonresident-hunting-licenses/","Michigan among first states to require hunting license in 1895 (resident $0.50/NR $25) specifically for deer. 83 counties; many Lower Peninsula DMUs correspond to single counties. DMU numbering non-contiguous (001-486+).",""
"Minnesota","MN","27","1899","high","https://www.nrahlf.org/articles/2019/7/31/the-long-history-of-nonresident-hunting-licenses/","management_unit","County","County","Minnesota Department of Natural Resources","Minnesota Department of Natural Resources","1899","https://www.nrahlf.org/articles/2019/7/31/the-long-history-of-nonresident-hunting-licenses/","MN first required resident hunting license in 1899 at $0.25 (NR $25). Species-specific license system (no single general hunting license). 87 counties; DPAs group counties by habitat/land use. Hunters must declare DPA at deer license purchase.",""
"Missouri","MO","29","1913","medium","https://waterfowlstampsandmore.com/1913-hunting-fishing-licenses-a-historical-perspective-part-one/","county","County","County","Missouri Department of Conservation","Department of Game and Fish","1913","https://waterfowlstampsandmore.com/1913-hunting-fishing-licenses-a-historical-perspective-part-one/","MO uses 'permits' not 'licenses' for hunting credentials. Earliest known MO hunting license Jan 6 1913 (county resident hunter's license). MO Conservation Commission formed 1937. Residents 65+ exempt from small game/bird permits. Antlerless deer quotas set by county. 114 counties + St. Louis City.",""
"Montana","MT","30","1901","medium","https://en.wikipedia.org/wiki/Montana_Department_of_Fish_Wildlife_and_Parks","management_unit","County","County","Montana Fish Wildlife and Parks","Fish and Game Board","1905","https://fwp.mt.gov/hunt/regulations","NR hunting license required 1901; resident license required 1905. Fish and Game Board established 1895. ~300+ Hunting Districts statewide; district count varies by species. Conservation License + Base Hunting License required before any species license.",""
"New Hampshire","NH","33","1909","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","management_unit","County","County","New Hampshire Fish and Game Department","New Hampshire Fish and Game Department","1909","https://www.wildlife.nh.gov/hunting-nh/where-hunt/new-hampshire-wildlife-management-units","Earliest known NH license is 1909 Resident Hunter's Permit (collector records). NH Fish & Game created 1906. 13 main WMU letters (A-M) with 22 subunits. Units L and M are special deer management units. Senior threshold is 68+. Permanent/Milestone licenses free for those born 1947 or earlier.",""
"New York","NY","36","1864","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","management_unit","County","County","New York State Department of Environmental Conservation","Conservation Department","1908","https://dec.ny.gov/regulatory/permits-licenses/sporting-and-use/sporting/hunting-license","Earliest known NY hunting license is 1908 Resident Hunter's License (collector records). 1864 date references earliest game law. WMUs replaced DMUs after 1997-98 season. WMU numbers correspond to DEC Regions (1-9). Deer Management Permits (antlerless) issued by WMU quota. Seniors 70+ hunt free.",""
"North Carolina","NC","37","1935","medium","https://www.ncleg.net/EnactedLegislation/Statutes/PDF/ByArticle/Chapter_113/Article_21.pdf","county","County","County","North Carolina Wildlife Resources Commission","North Carolina Wildlife Resources Commission","1935","https://www.ncleg.net/EnactedLegislation/Statutes/PDF/ByArticle/Chapter_113/Article_21.pdf","NC General Statutes cite 1935 c.486 as earliest hunting license session law. Earlier game regulation laws from 1929 existed. NC Wildlife Resources Commission formally created 1947. Reciprocal 10-day rates with GA/SC/TN/VA. Comprehensive license adds big game + waterfowl to base hunting license.",""
"Ohio","OH","39","1913","high","https://waterfowlstampsandmore.com/1913-hunting-fishing-licenses-a-historical-perspective-part-one/","county","County","County","Ohio Department of Natural Resources Division of Wildlife","Ohio Department of Natural Resources Division of Wildlife","1913","https://waterfowlstampsandmore.com/1913-hunting-fishing-licenses-a-historical-perspective-part-one/","OH was one of five states issuing first resident hunting licenses in 1913. Earliest known OH license issued Sep 27 1913. Multi-year licenses (3/5/10-year) available for residents. Free senior license for those born on/before Dec 31 1937.",""
"Pennsylvania","PA","42","1913","high","https://waterfowlstampsandmore.com/1913-hunting-fishing-licenses-a-historical-perspective-part-three/","mixed","County","County","Pennsylvania Game Commission","Pennsylvania Game Commission","1913","https://waterfowlstampsandmore.com/1913-hunting-fishing-licenses-a-historical-perspective-part-three/","First PA hunting license sold in 1913 for $1. PA Game Commission created 1895 but licenses not required until 1913. Pre-2003 licenses county-based; 22 WMUs replaced counties as management overlay in 2003. Antlerless deer quotas were by county 1951-2002. County remains the primary unit on historical antique licenses.",""
"Tennessee","TN","47","1920","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Tennessee Wildlife Resources Agency","Tennessee Wildlife Resources Agency","1920","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","Earliest known TN hunting license is 1920 county license to hunt (collector records). Actual statutory requirement may be earlier. TWRA established 1974. TN uses supplemental licenses on top of base Combo Hunt/Fish. NR Native Tennessean (born in TN) gets resident rates.",""
"Texas","TX","48","1909","high","https://www.tshaonline.org/handbook/entries/texas-game-and-fish-commission","county","County","County","Texas Parks and Wildlife Department","Office of Game Fish and Oyster Commissioner","1909","https://www.tshaonline.org/handbook/entries/texas-game-and-fish-commission","Texas State Historical Association confirms first hunting licenses sold in 1909. Office of Game Fish and Oyster Commissioner established 1907. Regulations set by county in the Outdoor Annual.",""
"Vermont","VT","50","1908","medium","https://legislature.vermont.gov/Documents/2020/WorkGroups/House%20Commerce/Vermont%20Fish%20and%20Wildlife/W~Louis%20Porter~Vermont%20Fish%20and%20Wildlife%20Background~1-22-2019.pdf","management_unit","County","County","Vermont Fish and Wildlife Department","Fish and Game Department","1908","https://legislature.vermont.gov/statutes/section/10/105/04255","VT Fish & Wildlife official presentation states 1908 first resident hunting and fishing license. Some sources say 1909. Fish & Game Dept created 1906. WMUs established 1979; pre-1979 antique licenses unlikely to reference management units. 17 base letter units with D/E/F/J subdivided into numbered subunits.",""
"Virginia","VA","51","1916","medium","https://waterfowlstampsandmore.com/earliest-hunting-fishing-licenses/","county","County","County","Virginia Department of Wildlife Resources","Department of Game and Inland Fisheries","1916","https://dwr.virginia.gov/hunting/regulations/licenses/","Earliest known VA hunting license is 1916-17 county hunter's license (collector records). VA uniquely offers county/city-specific resident hunting license cheaper than statewide. Multi-year licenses available up to 4 years. 95 counties + 38 independent cities = 133 jurisdictions.",""
"West Virginia","WV","54","1899","high","https://wvexplorer.com/west-virginia-hunter-magazine/history-of-hunting-regulations/","county","County","County","West Virginia Division of Natural Resources","West Virginia Division of Natural Resources","1909","https://wvexplorer.com/west-virginia-hunter-magazine/history-of-hunting-regulations/","WV first NR hunting license 1899 ($25). First resident license 1909-10. Game and Fish Warden office created 1897. WV uses Class code system (A/E/X/BG/CS etc.) for all license types. Antlerless deer stamps (Class N/NN) are county-specific. Conservation Stamp required for all hunters.",""
"Wisconsin","WI","55","1897","high","https://dnr.wi.gov/news/Weekly/article/?id=1258","mixed","County","County","Wisconsin Department of Natural Resources","Wisconsin Department of Natural Resources","1897","https://dnr.wi.gov/news/Weekly/article/?id=1258","First WI hunting license 1897: $1 resident/$30 nonresident. ~12000 licenses sold first year. First deer license to George Ogomoso of Armstrong Creek. ~130 DMUs currently used for deer management; county remains the historical unit for antique licenses.",""
"Wyoming","WY","56","1886","low","","management_unit","County","County","Wyoming Game and Fish Department","Wyoming Game and Fish Department","1899","https://wgfd.wyo.gov/licenses-applications","Game Warden office created 1899; fishing license not required until 1920. Hunting license start year unconfirmed — estimated 1899-1905. Hunt Areas vary by species; deer ~90 areas elk ~100+ antelope ~100+. Conservation Stamp required for all hunters.",""
"New Jersey","NJ","34","1902","high","https://dep.nj.gov/njfw/licenses-and-permits/fishing-and-hunting-license-and-permit-information/","county","County","County","New Jersey Division of Fish and Wildlife","","1909","https://dep.nj.gov/njfw/licenses-and-permits/fishing-and-hunting-license-and-permit-information/","NJDEP states the first NJ license was a nonresident hunting license in 1902 at $10.50; the first resident hunting license was required in 1909 at $1.15; first fishing license 1915. Earliest known specimen is a 1909 NJ Resident Hunter's License (collector records). Licenses run the calendar year and by law must be openly displayed in the middle of the back on outer clothing - a direct back-tag practice. Base licenses are statewide; deer, bear and turkey permits are Deer Management Zone specific. 21 counties. Historical agency name not verified in this pass.","2026-08-27"
"Delaware","DE","10","1913","high","https://waterfowlstampsandmore.com/1913-hunting-and-fishing-licenses-in-historical-context-part-three/","county","County","County","Delaware Division of Fish and Wildlife","","1913","https://waterfowlstampsandmore.com/1913-hunting-and-fishing-licenses-in-historical-context-part-three/","DE was one of five states to issue its first resident hunting license in 1913 (with AZ, AR, OH and PA). Earliest known specimen is the 1913 Delaware Resident Hunter's License. License year runs July 1 - June 30. Only 3 counties (New Castle, Kent, Sussex), making DE the smallest county set in the dataset. Hunter education required for those born after Jan 1 1967; trapper education for those born after Jan 1 1978. Conservation Access Pass required for vehicles using state wildlife areas. Historical agency name not verified in this pass.","2026-08-27"
